<Battle_of_Chinhat>	Battle of Chinhat
<The_Pinnacle,_Battle_of_Okinawa>	The Pinnacle
<Raid_on_Cherbourg>	Raid on Cherbourg
<it/Assedio_di_Napoli_(536)>	Assedio di Napoli
<Battle_of_Washita_River>	Washita
<it/Battaglia_di_Aricia>	Battaglia di Aricia
<de/Bockenkrieg>	Bockenkrieg
<Battle_of_Lemo>	Battle of Lemo
<Operation_Jungle>	Operation Jungle
<fr/Bataille_de_Bobr>	Bataille de Bobr
<fr/Septième_Coalition>	Septieme Coalition
<Battle_of_Domstadtl>	Battle of Domstadtl
<Incident_at_Pristina_airport>	Incident at Pristina airport
<Battle_of_Fort_Blair>	Battle of Fort Blair
<Šiauliai_Offensive>	Šiauliai Offensive
<Kandyan_commerce_raiding_against_Portugal_(1612–13)>	Kandyan commerce raiding against Portugal (1612–13)
<Operation_Mushroom>	Operation Mushroom
<Ohrid–Debar_Uprising>	Ohrid-Debar Uprising
<Warsaw_Pact_invasion_of_Czechoslovakia>	Warsaw Pact invasion of Czechoslovakia
<Roman_conquest_of_the_Hernici>	Roman conquest of the Hernici
<Battle_of_Erbach>	Battle of Erbach
<Battle_of_the_Crater_(Aden)>	Battle of the Crater
<Operation_Nasrat>	Operation Nasrat
<Battle_of_Saalfeld>	Battle of Saalfeld
<fr/Guerre_à_mort>	Guerre à mort
<Incorporation_of_Xinjiang_into_the_People's_Republic_of_China>	Incorporation of Xinjiang into the People's Republic of China
<Battle_of_Mobekk>	Battle of Mobekk
<Battle_of_Pensacola_(1861)>	Battle of Pensacola
<Namibian_War_of_Independence>	Namibian War of Independence
<Siege_of_Petropavlovsk>	Siege of Petropavlovsk
<Battle_of_Maskin>	Battle of Maskin
<Battle_of_Szina>	Battle of Szina
<Blockade_of_Germany>	Blockade of Germany
<Battle_of_Corpach>	Battle of Corpach
<Operation_Murfreesboro>	Operation Murfreesboro
<Battle_of_Zagonara>	Battle of Zagonara
<Burma–Thailand_relations>	Burma-Thailand relations
<Nat_Turner's_slave_rebellion>	Nat Turner's slave rebellion
<Action_of_13_March_1806>	Action of 13 March 1806
<de/Belagerung_von_Rheinberg_(1598)>	Belagerung von Rheinberg
<Operation_Amherst>	Operation Amherst
<Night_of_the_Gliders>	Night of the Gliders
<Battle_of_Bentonville>	Battle of Bentonville
<Battle_of_Jeonju>	Battle of Jeonju
<Battle_of_Yellow_Tavern>	Battle of Yellow Tavern
<American_Indian_Wars>	American Indian Wars
<fr/Sac_de_Rome_(-390)>	Sac de Rome
<Bhutan_War>	Bhutan War
<fr/Siège_de_Kufstein_(1809)>	Siège de Kufstein
<Siege_of_Lyon>	Siege of Lyon
<Battle_of_Mutina_(193_BC)>	Battle of Mutina (193 BC)
<Courland_Pocket>	Courland Pocket
<Battle_of_Ümera>	Battle of Uemera
<Battle_of_Dak_To>	Battle of Dak To
<Battle_of_Nagoszewo>	Battle of Nagoszewo
<Battle_of_Starokostiantyniv>	Battle of Starokostiantyniv
<Battle_of_Charlotte>	Battle of Charlotte
<Siege_of_Corinth>	Battle of Corinth
<de/Kampfschwimmer_(Kriegsmarine)>	Kampfschwimmer (Kriegsmarine)
